cod_ibge;Municipio;Ano;Grupos Numero;Grupos;População
3505203;Bariri;2024;3;Alto;31510
3505302;Barra Bonita;2014;2;Médio;35096
3505302;Barra Bonita;2016;3;Alto;35029
3505302;Barra Bonita;2018;3;Alto;34971
3505302;Barra Bonita;2020;3;Alto;34914
3505302;Barra Bonita;2022;2;Médio;34352
3505302;Barra Bonita;2024;3;Alto;33968
3505351;Barra do Chapéu;2014;1;Baixo;5352
3505351;Barra do Chapéu;2016;1;Baixo;5409
3505351;Barra do Chapéu;2018;1;Baixo;5470
3505351;Barra do Chapéu;2020;1;Baixo;5530
3505351;Barra do Chapéu;2022;1;Baixo;5179
3505351;Barra do Chapéu;2024;2;Médio;5151
3505401;Barra do Turvo;2014;1;Baixo;7674
3505401;Barra do Turvo;2016;1;Baixo;7665
3505401;Barra do Turvo;2018;1;Baixo;7676
3505401;Barra do Turvo;2020;1;Baixo;7687
3505401;Barra do Turvo;2022;1;Baixo;6882
3505401;Barra do Turvo;2024;1;Baixo;6709
3505500;Barretos;2014;2;Médio;114701
3505500;Barretos;2016;3;Alto;115907
3505500;Barretos;2018;3;Alto;116973
3505500;Barretos;2020;3;Alto;118048
3505500;Barretos;2022;3;Alto;122410
3505500;Barretos;2024;4;Muito alto;123742
3505609;Barrinha;2014;1;Baixo;30051
3505609;Barrinha;2016;1;Baixo;30829
3505609;Barrinha;2018;2;Médio;31574
3505609;Barrinha;2020;2;Médio;32338
3505609;Barrinha;2022;2;Médio;32066
3505609;Barrinha;2024;3;Alto;32488
3505708;Barueri;2014;4;Muito alto;250477
3505708;Barueri;2016;4;Muito alto;255276
3505708;Barueri;2018;4;Muito alto;259793
3505708;Barueri;2020;4;Muito alto;264390
3505708;Barueri;2022;4;Muito alto;315873
3505708;Barueri;2024;4;Muito alto;326665
3505807;Bastos;2014;3;Alto;20296
3505807;Bastos;2016;3;Alto;20267
3505807;Bastos;2018;3;Alto;20284
3505807;Bastos;2020;4;Muito alto;20301
3505807;Bastos;2022;3;Alto;21495
3505807;Bastos;2024;3;Alto;21549
3505906;Batatais;2014;2;Médio;58060
3505906;Batatais;2016;3;Alto;58821
3505906;Batatais;2018;3;Alto;59517
3505906;Batatais;2020;3;Alto;60222
3505906;Batatais;2022;2;Médio;58388
3505906;Batatais;2024;3;Alto;58450
3506003;Bauru;2014;2;Médio;352654
3506003;Bauru;2016;3;Alto;356769
3506003;Bauru;2018;3;Alto;360478
3506003;Bauru;2020;3;Alto;364225
3506003;Bauru;2022;3;Alto;378889
3506003;Bauru;2024;3;Alto;383213
