"cod_ibge";"municipio";"ano";"riqueza";"riqueza_estado";"longevidade";"longevidade_estado";"escolaridade";"escolaridade_estado";"IPDM";"IPDM_estado";"media"
3501707;"Américo Brasiliense";2024;0,395;0,464;0,632;0,716;0,592;0,569;0,54;0,583;1
3501806;"Américo de Campos";2014;0,267;0,457;0,791;0,698;0,538;0,449;0,532;0,535;1
3501806;"Américo de Campos";2016;0,265;0,438;0,854;0,717;0,518;0,511;0,546;0,555;1
3501806;"Américo de Campos";2018;0,299;0,451;0,71;0,721;0,614;0,563;0,541;0,578;1
3501806;"Américo de Campos";2020;0,298;0,439;0,703;0,722;0,611;0,594;0,537;0,585;1
3501806;"Américo de Campos";2022;0,287;0,441;0,655;0,697;0,669;0,556;0,537;0,565;1
3501806;"Américo de Campos";2024;0,326;0,464;0,724;0,716;0,779;0,569;0,61;0,583;0
3501905;"Amparo";2014;0,444;0,457;0,751;0,698;0,55;0,449;0,582;0,535;0
3501905;"Amparo";2016;0,426;0,438;0,767;0,717;0,606;0,511;0,6;0,555;0
3501905;"Amparo";2018;0,447;0,451;0,765;0,721;0,678;0,563;0,63;0,578;0
3501905;"Amparo";2020;0,439;0,439;0,748;0,722;0,686;0,594;0,624;0,585;0
3501905;"Amparo";2022;0,438;0,441;0,729;0,697;0,607;0,556;0,591;0,565;0
3501905;"Amparo";2024;0,461;0,464;0,733;0,716;0,615;0,569;0,603;0,583;0
3502002;"Analândia";2014;0,388;0,457;0,656;0,698;0,467;0,449;0,504;0,535;1
3502002;"Analândia";2016;0,37;0,438;0,715;0,717;0,572;0,511;0,552;0,555;1
3502002;"Analândia";2018;0,409;0,451;0,687;0,721;0,544;0,563;0,547;0,578;1
3502002;"Analândia";2020;0,41;0,439;0,67;0,722;0,565;0,594;0,548;0,585;1
3502002;"Analândia";2022;0,391;0,441;0,722;0,697;0,577;0,556;0,563;0,565;1
3502002;"Analândia";2024;0,436;0,464;0,711;0,716;0,581;0,569;0,576;0,583;1
3502101;"Andradina";2014;0,392;0,457;0,736;0,698;0,531;0,449;0,553;0,535;0
3502101;"Andradina";2016;0,39;0,438;0,684;0,717;0,578;0,511;0,551;0,555;1
3502101;"Andradina";2018;0,39;0,451;0,671;0,721;0,646;0,563;0,569;0,578;1
3502101;"Andradina";2020;0,407;0,439;0,733;0,722;0,607;0,594;0,582;0,585;1
3502101;"Andradina";2022;0,391;0,441;0,681;0,697;0,57;0,556;0,547;0,565;1
3502101;"Andradina";2024;0,442;0,464;0,678;0,716;0,591;0,569;0,57;0,583;1
3502200;"Angatuba";2014;0,351;0,457;0,768;0,698;0,543;0,449;0,554;0,535;0
3502200;"Angatuba";2016;0,37;0,438;0,723;0,717;0,618;0,511;0,57;0,555;0
3502200;"Angatuba";2018;0,4;0,451;0,732;0,721;0,689;0,563;0,607;0,578;0
3502200;"Angatuba";2020;0,406;0,439;0,668;0,722;0,67;0,594;0,581;0,585;1
3502200;"Angatuba";2022;0,402;0,441;0,658;0,697;0,613;0,556;0,558;0,565;1
3502200;"Angatuba";2024;0,418;0,464;0,713;0,716;0,621;0,569;0,584;0,583;0
3502309;"Anhembi";2014;0,278;0,457;0,799;0,698;0,411;0,449;0,496;0,535;1
3502309;"Anhembi";2016;0,253;0,438;0,807;0,717;0,411;0,511;0,49;0,555;1
3502309;"Anhembi";2018;0,31;0,451;0,797;0,721;0,431;0,563;0,513;0,578;1
3502309;"Anhembi";2020;0,302;0,439;0,764;0,722;0,533;0,594;0,533;0,585;1
3502309;"Anhembi";2022;0,316;0,441;0,724;0,697;0,421;0,556;0,487;0,565;1
3502309;"Anhembi";2024;0,355;0,464;0,618;0,716;0,492;0,569;0,488;0,583;1
3502408;"Anhumas";2014;0,338;0,457;0,731;0,698;0,597;0,449;0,555;0,535;0
3502408;"Anhumas";2016;0,251;0,438;0,732;0,717;0,599;0,511;0,527;0,555;1
3502408;"Anhumas";2018;0,268;0,451;0,689;0,721;0,6;0,563;0,519;0,578;1
3502408;"Anhumas";2020;0,267;0,439;0,728;0,722;0,705;0,594;0,567;0,585;1
3502408;"Anhumas";2022;0,273;0,441;0,71;0,697;0,556;0,556;0,513;0,565;1
3502408;"Anhumas";2024;0,295;0,464;0,713;0,716;0,577;0,569;0,528;0,583;1
3502507;"Aparecida";2014;0,357;0,457;0,554;0,698;0,509;0,449;0,473;0,535;1
3502507;"Aparecida";2016;0,405;0,438;0,717;0,717;0,548;0,511;0,557;0,555;0
3502507;"Aparecida";2018;0,418;0,451;0,738;0,721;0,673;0,563;0,61;0,578;0
3502507;"Aparecida";2020;0,378;0,439;0,731;0,722;0,649;0,594;0,586;0,585;0
3502507;"Aparecida";2022;0,393;0,441;0,661;0,697;0,598;0,556;0,551;0,565;1
3502507;"Aparecida";2024;0,431;0,464;0,589;0,716;0,636;0,569;0,552;0,583;1
3502606;"Aparecida d'Oeste";2014;0,284;0,457;0,638;0,698;0,59;0,449;0,504;0,535;1
